date,Midwest,National,Northeast,South,West,date_period
2024-07-06,3.292357127031482,4.447756676424531,2.838075340546341,4.599449337342172,7.124143789003283,6 Months
2024-07-06,3.292357127031482,4.447756676424531,2.838075340546341,4.599449337342172,7.124143789003283,All Results
2024-07-06,3.292357127031482,4.447756676424531,2.838075340546341,4.599449337342172,7.124143789003283,1 Year
2024-07-13,4.5809247547761345,5.4769371973983,3.4638549270124224,5.839661053731842,9.532306175618604,6 Months
2024-07-13,4.5809247547761345,5.4769371973983,3.4638549270124224,5.839661053731842,9.532306175618604,All Results
2024-07-13,4.5809247547761345,5.4769371973983,3.4638549270124224,5.839661053731842,9.532306175618604,1 Year
2024-07-20,5.064799867137409,6.166558413871416,3.9187361423961855,7.591448437493616,9.620998981752827,6 Months
2024-07-20,5.064799867137409,6.166558413871416,3.9187361423961855,7.591448437493616,9.620998981752827,All Results
2024-07-20,5.064799867137409,6.166558413871416,3.9187361423961855,7.591448437493616,9.620998981752827,1 Year
2024-07-27,5.904697602589089,6.661786776175179,4.257951329359804,8.714442394240544,10.499815359552208,6 Months
2024-07-27,5.904697602589089,6.661786776175179,4.257951329359804,8.714442394240544,10.499815359552208,All Results
2024-07-27,5.904697602589089,6.661786776175179,4.257951329359804,8.714442394240544,10.499815359552208,1 Year
2024-08-03,7.004748909104755,8.04561086713608,5.378725677485883,10.31307102332109,12.055534414693208,6 Months
2024-08-03,7.004748909104755,8.04561086713608,5.378725677485883,10.31307102332109,12.055534414693208,All Results
2024-08-03,7.004748909104755,8.04561086713608,5.378725677485883,10.31307102332109,12.055534414693208,1 Year
2024-08-10,6.383282829821342,8.222365696122223,5.946764194360778,10.37224457881053,11.662591284351777,6 Months
2024-08-10,6.383282829821342,8.222365696122223,5.946764194360778,10.37224457881053,11.662591284351777,All Results
2024-08-10,6.383282829821342,8.222365696122223,5.946764194360778,10.37224457881053,11.662591284351777,1 Year
2024-08-17,6.964271711521622,7.937802818965551,6.557914637308539,9.439358973065787,10.894706418392477,6 Months
2024-08-17,6.964271711521622,7.937802818965551,6.557914637308539,9.439358973065787,10.894706418392477,All Results
2024-08-17,6.964271711521622,7.937802818965551,6.557914637308539,9.439358973065787,10.894706418392477,1 Year
2024-08-24,8.20995778922021,8.198974340813665,6.022867606241582,9.870328052299568,9.102866462562634,6 Months
2024-08-24,8.20995778922021,8.198974340813665,6.022867606241582,9.870328052299568,9.102866462562634,All Results
2024-08-24,8.20995778922021,8.198974340813665,6.022867606241582,9.870328052299568,9.102866462562634,1 Year
2024-08-31,8.452911047588792,7.7763183226701,5.667882474607778,8.948979752590354,9.249826379449075,6 Months
2024-08-31,8.452911047588792,7.7763183226701,5.667882474607778,8.948979752590354,9.249826379449075,All Results
2024-08-31,8.452911047588792,7.7763183226701,5.667882474607778,8.948979752590354,9.249826379449075,1 Year
2024-09-07,7.771902542294979,7.375129653235615,4.612935214315445,7.720927511061101,10.225406509465536,6 Months
2024-09-07,7.771902542294979,7.375129653235615,4.612935214315445,7.720927511061101,10.225406509465536,45 Days
2024-09-07,7.771902542294979,7.375129653235615,4.612935214315445,7.720927511061101,10.225406509465536,All Results
2024-09-07,7.771902542294979,7.375129653235615,4.612935214315445,7.720927511061101,10.225406509465536,1 Year
2024-09-14,7.315127812059124,6.655678919047137,4.28396114834967,6.691304597186898,7.570140686184672,6 Months
2024-09-14,7.315127812059124,6.655678919047137,4.28396114834967,6.691304597186898,7.570140686184672,45 Days
2024-09-14,7.315127812059124,6.655678919047137,4.28396114834967,6.691304597186898,7.570140686184672,All Results
2024-09-14,7.315127812059124,6.655678919047137,4.28396114834967,6.691304597186898,7.570140686184672,1 Year
2024-09-21,5.6012936791015715,5.2812205813309445,3.936694332777896,5.28272907662674,5.680244280281132,6 Months
